"V1","V2","V3"
"Akkadian","Arabic",9
"Akkadian","French",4
"Akkadian","Greek",4
"Akkadian","Hebrew",9
"Akkadian","Latin",4
"Akkadian","Old English",4
"Akkadian","Old French",4
"Akkadian","Semitic",4
"Albanian","Armenian",4
"Albanian","Carib",2
"Albanian","Celtic",4
"Albanian","Chinese",2
"Albanian","Church Slavonic",2
"Albanian","Croatian",3
"Albanian","Czech",50
"Albanian","Danish",1
"Albanian","Dutch",80
"Albanian","French",29
"Albanian","Frisian",50
"Albanian","Ga",3
"Albanian","Gaelic",3
"Albanian","German",96
"Albanian","Germanic",80
"Albanian","Gothic",80
"Albanian","Greek",84
"Albanian","Hebrew",14
"Albanian","Hungarian",3
"Albanian","Irish",64
"Albanian","Italian",7
"Albanian","Kru",6
"Albanian","Latin",47
"Albanian","Latvian",52
"Albanian","Lithuanian",57
"Albanian","Middle Dutch",12
"Albanian","Middle English",24
"Albanian","Old Church Slavonic",2
"Albanian","Old English",94
"Albanian","Old French",27
"Albanian","Old High German",85
"Albanian","Old Irish",64
"Albanian","Old Norse",65
"Albanian","Persian",2
"Albanian","Polish",5
"Albanian","Romance",2
"Albanian","Russian",58
"Albanian","Sanskrit",34
"Albanian","Slavic",2
"Albanian","Spanish",5
"Albanian","Swedish",4
"Albanian","Welsh",16
"Arabic","Catalan",15
"Arabic","Chinese",8
"Arabic","Church Slavonic",1
"Arabic","Danish",9
"Arabic","Dutch",9
"Arabic","Egyptian",1
"Arabic","French",321
"Arabic","Frisian",9
"Arabic","Ga",2
"Arabic","German",50
"Arabic","Germanic",15
"Arabic","Gothic",9
"Arabic","Greek",24
"Arabic","Hebrew",11
"Arabic","Hungarian",9
"Arabic","Indo-European",6
"Arabic","Irish",38
"Arabic","Italian",233
"Arabic","Latin",294
"Arabic","Malay",8
"Arabic","Mandar",8
"Arabic","Middle English",53
"Arabic","Occitan",6
"Arabic","Old Church Slavonic",1
"Arabic","Old English",38
"Arabic","Old French",276
"Arabic","Old High German",9
"Arabic","Old Irish",4
"Arabic","Old Norse",9
"Arabic","Persian",14
"Arabic","Polish",9
"Arabic","Portuguese",9
"Arabic","Provençal",15
"Arabic","Russian",45
"Arabic","Sanskrit",1
"Arabic","Semitic",5
"Arabic","Slavic",9
"Arabic","Spanish",275
"Arabic","Turkish",9
"Arabic","Welsh",29
"Aramaic","Croatian",6
"Aramaic","Dutch",6
"Aramaic","French",137
"Aramaic","German",13
"Aramaic","Greek",14
"Aramaic","Hebrew",130
"Aramaic","Hungarian",6
"Aramaic","Iranian",6
"Aramaic","Irish",6
"Aramaic","Italian",14
"Aramaic","Latin",136
"Aramaic","Lithuanian",6
"Aramaic","Old English",13
"Aramaic","Old French",130
"Aramaic","Old High German",7
"Aramaic","Old Persian",6
"Aramaic","Persian",6
"Aramaic","Polish",6
"Aramaic","Russian",6
"Aramaic","Semitic",8
"Aramaic","Spanish",13
"Aramaic","Swedish",6
"Aramaic","Turkish",6
"Aramaic","Welsh",6
"Arawak","Breton",2
"Arawak","Carib",2
"Arawak","French",2
"Arawak","German",2
"Arawak","Haitian",2
"Arawak","Portuguese",2
"Arawak","Spanish",2
"Arawak","Tai",2
"Armenian","Avestan",767
"Armenian","Breton",22
"Armenian","Church Slavonic",1159
"Armenian","Danish",1126
"Armenian","Dutch",2495
"Armenian","French",124
"Armenian","Frisian",2443
"Armenian","Georgian",1
"Armenian","German",2542
"Armenian","Germanic",2537
"Armenian","Gothic",2065
"Armenian","Greek",1752
"Armenian","Hebrew",1
"Armenian","Hittite",33
"Armenian","Indo-European",343
"Armenian","Irish",864
"Armenian","Italian",16
"Armenian","Latin",1725
"Armenian","Lithuanian",1711
"Armenian","Middle Dutch",1156
"Armenian","Middle English",2510
"Armenian","Middle Irish",16
"Armenian","Old Church Slavonic",1159
"Armenian","Old English",2644
"Armenian","Old French",123
"Armenian","Old High German",2490
"Armenian","Old Irish",811
"Armenian","Old Norse",2158
"Armenian","Persian",73
"Armenian","Russian",772
"Armenian","Sanskrit",2073
"Armenian","Semitic",1
"Armenian","Slavic",778
"Armenian","Spanish",16
"Armenian","Swedish",793
"Armenian","Welsh",864
"Austronesian","Malay",3
"Avestan","Breton",49
"Avestan","Church Slavonic",10188
"Avestan","Danish",831
"Avestan","Delaware",35
"Avestan","Dutch",11895
"Avestan","Flemish",14
"Avestan","French",3309
"Avestan","Frisian",5752
"Avestan","Ga",23
"Avestan","German",12077
"Avestan","Germanic",12036
"Avestan","Gothic",11809
"Avestan","Greek",8193
"Avestan","Hittite",2127
"Avestan","Indo-European",387
"Avestan","Iranian",271
"Avestan","Irish",3632
"Avestan","Italian",102
"Avestan","Latin",10879
"Avestan","Lithuanian",5731
"Avestan","Low German",46
"Avestan","Middle Dutch",5148
"Avestan","Middle English",6762
"Avestan","Middle Irish",60
"Avestan","Old Church Slavonic",10188
"Avestan","Old English",12066
"Avestan","Old French",196
"Avestan","Old High German",3951
"Avestan","Old Irish",3568
"Avestan","Old Norse",8866
"Avestan","Old Persian",2437
"Avestan","Persian",2595
"Avestan","Polish",27
"Avestan","Russian",1854
"Avestan","Sanskrit",7895
"Avestan","Spanish",102
"Avestan","Swedish",138
"Avestan","Welsh",948
"Basque","Breton",18
"Basque","Celtic",147
"Basque","Church Slavonic",147
"Basque","Dutch",147
"Basque","French",18
"Basque","Frisian",147
"Basque","Ga",18
"Basque","Gaelic",18
"Basque","German",165
"Basque","Germanic",165
"Basque","Gothic",147
"Basque","Icelandic",18
"Basque","Irish",18
"Basque","Latin",147
"Basque","Lithuanian",147
"Basque","Middle Dutch",147
"Basque","Middle English",147
"Basque","Old Church Slavonic",147
"Basque","Old English",165
"Basque","Old French",18
"Basque","Old High German",147
"Basque","Old Norse",165
"Basque","Polish",147
"Basque","Russian",147
"Basque","Slavic",147
"Basque","Welsh",18
"Breton","Carib",2
